x_m,y_m,w_tr_right_m,w_tr_left_m
2.225165,-10.046425,1.2583,1.2583
2.175080,-10.030976,1.2484,1.2484
2.124645,-10.014882,1.2886,1.2886
2.074824,-9.998131,1.2783,1.2783
2.024727,-9.980716,1.2583,1.2583
1.975316,-9.961649,1.2984,1.2984
1.926569,-9.941796,1.2886,1.2886
1.877593,-9.921156,1.2783,1.2783
1.828477,-9.899729,1.3083,1.3083
1.780178,-9.877520,1.2984,1.2984
1.731796,-9.854536,1.3181,1.3181
1.683415,-9.829802,1.3083,1.3083
1.635115,-9.804199,1.3484,1.3484
1.586105,-9.777739,1.3386,1.3386
1.537441,-9.750438,1.3681,1.3681
1.488321,-9.722314,1.3583,1.3583
1.439794,-9.693387,1.3984,1.3984
1.391921,-9.662699,1.4280,1.4280
1.343889,-9.631142,1.4280,1.4280
1.296735,-9.598744,1.4681,1.4681
1.249638,-9.565535,1.4980,1.4980
1.203627,-9.530561,1.4780,1.4780
1.157873,-9.494727,1.5181,1.5181
1.113394,-9.458067,1.5583,1.5583
1.069354,-9.420619,1.5878,1.5878
1.026765,-9.381440,1.5780,1.5780
0.984779,-9.341440,1.6181,1.6181
0.944400,-9.300664,1.6380,1.6380
0.904772,-9.259159,1.6477,1.6477
0.866892,-9.216973,1.6778,1.6778
0.829895,-9.173174,1.7177,1.7177
0.793897,-9.128686,1.6977,1.6977
0.759008,-9.083562,1.7378,1.7378
0.726203,-9.037860,1.7780,1.7780
0.694600,-8.991643,1.7681,1.7681
0.664293,-8.944972,1.8083,1.8083
0.635375,-8.897914,1.8484,1.8484
0.607928,-8.849555,1.8386,1.8386
0.582033,-8.800833,1.8788,1.8788
0.557763,-8.750950,1.8689,1.8689
0.535185,-8.700093,1.9091,1.9091
0.514362,-8.648334,1.8992,1.8992
0.495350,-8.595744,1.8894,1.8894
0.478200,-8.542510,1.9295,1.9295
0.462957,-8.488704,1.9197,1.9197
0.449661,-8.434399,1.9098,1.9098
0.438346,-8.380650,1.9500,1.9500
0.429040,-8.326662,1.9500,1.9500
0.421765,-8.271641,1.9500,1.9500
0.416538,-8.216642,1.9500,1.9500
0.413371,-8.161852,1.9500,1.9500
0.412270,-8.107343,1.9500,1.9500
0.413234,-8.053187,1.9598,1.9598
0.416257,-7.998586,1.9697,1.9697
0.421329,-7.944594,1.9795,1.9795
0.428433,-7.891279,1.9894,1.9894
0.437545,-7.838712,1.9992,1.9992
0.448638,-7.787075,1.9591,1.9591
0.461678,-7.735568,1.9689,1.9689
0.476625,-7.685241,1.9788,1.9788
0.493434,-7.635291,1.9886,1.9886
0.512054,-7.585781,1.9484,1.9484
0.532429,-7.537757,1.9583,1.9583
0.554497,-7.490409,1.9181,1.9181
0.578189,-7.443795,1.9280,1.9280
0.603433,-7.398840,1.8878,1.8878
0.631133,-7.354615,1.8977,1.8977
0.660338,-7.311172,1.8575,1.8575
0.690960,-7.268561,1.8500,1.8500
0.723891,-7.226827,1.8275,1.8275
0.758165,-7.186016,1.8000,1.8000
0.793678,-7.146167,1.7500,1.7500
0.831310,-7.107319,1.7000,1.7000
0.870080,-7.069507,1.6598,1.6598
0.909871,-7.032764,1.6697,1.6697
0.951547,-6.997119,1.6295,1.6295
0.994114,-6.962600,1.5894,1.5894
1.038425,-6.929230,1.5894,1.5894
1.083479,-6.897030,1.5492,1.5492
1.129137,-6.866018,1.5000,1.5000
1.176239,-6.837081,1.5000,1.5000
1.223768,-6.809250,1.4500,1.4500
1.271573,-6.782537,1.4500,1.4500
1.320478,-6.756951,1.4000,1.4000
