x_m,y_m,w_tr_right_m,w_tr_left_m
-6.358360,-2.956000,0.7091,0.7091
-6.361760,-3.006000,0.7291,0.7291
-6.366810,-3.056000,0.7394,0.7394
-6.376144,-3.106000,0.7492,0.7492
-6.385411,-3.156000,0.7591,0.7591
-6.393224,-3.206000,0.7689,0.7689
-6.398357,-3.258795,0.7295,0.7295
-6.399746,-3.312832,0.7394,0.7394
-6.396493,-3.366722,0.7992,0.7992
-6.387863,-3.419240,0.8091,0.8091
-6.373283,-3.469321,0.8189,0.8189
-6.352345,-3.516069,0.8389,0.8389
-6.324803,-3.555951,0.8492,0.8492
-6.290576,-3.592744,0.8091,0.8091
-6.249746,-3.625876,0.7591,0.7591
-6.207069,-3.657733,0.7291,0.7291
-6.160321,-3.683721,0.7591,0.7591
-6.110240,-3.703924,0.7689,0.7689
-6.057722,-3.718586,0.7591,0.7591
-6.003832,-3.730910,0.7689,0.7689
-5.949795,-3.737121,0.7991,0.7991
