x_m,y_m,w_tr_right_m,w_tr_left_m
-6.152627,-6.120807,0.7291,0.7291
-6.103221,-6.14756,0.7291,0.7291
-6.054056,-6.1748,0.7291,0.7291
-6.005124,-6.20251,0.7495,0.7495
-5.956417,-6.229693,0.7291,0.7291
-5.907926,-6.257207,0.7291,0.7291
-5.859642,-6.284172,0.7291,0.7291
-5.811557,-6.311562,0.7492,0.7492
-5.763663,-6.33937,0.7291,0.7291
-5.715952,-6.366608,0.7291,0.7291
-5.668413,-6.394141,0.6992,0.6992
-5.621041,-6.421968,0.7091,0.7091
-5.573824,-6.450091,0.6892,0.6892
-5.526757,-6.477529,0.6591,0.6591
-5.479828,-6.505156,0.6892,0.6892
-5.433032,-6.53298,0.6591,0.6591
-5.386358,-6.560025,0.6892,0.6892
-5.339798,-6.587173,0.6591,0.6591
-5.293345,-6.613451,0.6892,0.6892
-5.246988,-6.640612,0.6591,0.6591
-5.200721,-6.667575,0.6892,0.6892
-5.154535,-6.694248,0.6492,0.6492
-5.10842,-6.720655,0.6591,0.6591
-5.062369,-6.745837,0.6492,0.6492
-5.016373,-6.769821,0.6492,0.6492
-4.970423,-6.79362,0.6192,0.6192
-4.924512,-6.816277,0.6492,0.6492
-4.87863,-6.838693,0.6192,0.6192
-4.83277,-6.860901,0.6394,0.6394
-4.786922,-6.88108,0.5992,0.5992
-4.741078,-6.901119,0.5992,0.5992
-4.69523,-6.921052,0.5492,0.5492
-4.64937,-6.939933,0.5395,0.5395
-4.603488,-6.95867,0.4997,0.4997
-4.557577,-6.976319,0.49,0.49
-4.511627,-6.993793,0.4598,0.4598
-4.465631,-7.009279,0.4598,0.4598
-4.41958,-7.024674,0.42,0.42
-4.373465,-7.039037,0.4297,0.4297
-4.327279,-7.053281,0.3995,0.3995
-4.281012,-7.067454,0.3795,0.3795
-4.234655,-7.07975,0.4197,0.4197
-4.188202,-7.092069,0.4098,0.4098
-4.141642,-7.103478,0.4,0.4
-4.094968,-7.114896,0.4,0.4
-4.048172,-7.125391,0.45,0.45
-4.001243,-7.135884,0.45,0.45
-3.954176,-7.145561,0.4598,0.4598
-3.906959,-7.154477,0.4697,0.4697
-3.859587,-7.163556,0.4795,0.4795
-3.812048,-7.171874,0.4894,0.4894
-3.764337,-7.180357,0.5394,0.5394
-3.716443,-7.188081,0.5492,0.5492
-3.668358,-7.195108,0.5794,0.5794
-3.620074,-7.201498,0.6,0.6
-3.620074,-7.201498,0.6,0.6
-3.571583,-7.207198,0.6098,0.6098
-3.522876,-7.213138,0.6197,0.6197
-3.473944,-7.218397,0.6295,0.6295
-3.424779,-7.22391,0.6394,0.6394
-3.375373,-7.228757,0.5992,0.5992
-3.325716,-7.232891,0.6098,0.6098
-3.275802,-7.237248,0.6197,0.6197
-3.22562,-7.240914,0.6295,0.6295
-3.175163,-7.243842,0.6394,0.6394
-3.124422,-7.246973,0.6492,0.6492
-3.073389,-7.249393,0.6591,0.6591
-3.022055,-7.250191,0.6697,0.6697
-2.970412,-7.250305,0.6795,0.6795
-2.918451,-7.250675,0.6894,0.6894
-2.867149,-7.251373,0.6992,0.6992
-2.815629,-7.252474,0.7091,0.7091
-2.76487,-7.254055,0.7197,0.7197
-2.714,-7.256197,0.7295,0.7295
-2.664,-7.258983,0.7394,0.7394
-2.614,-7.262499,0.7492,0.7492
-2.564,-7.266835,0.75,0.75
-2.514,-7.271097,0.7591,0.7591
-2.464,-7.276248,0.7197,0.7197
-2.414,-7.281397,0.7295,0.7295
-2.364,-7.286526,0.7394,0.7394
-2.314,-7.292598,0.7492,0.7492
-2.264,-7.298726,0.75,0.75
-2.214,-7.304894,0.75,0.75
-2.164,-7.311084,0.75,0.75
-2.114,-7.31728,0.7492,0.7492
-2.064,-7.323465,0.7394,0.7394
-2.014,-7.329622,0.7,0.7
-1.964,-7.336717,0.7,0.7
-1.914,-7.343868,0.7098,0.7098
-1.864,-7.35106,0.7197,0.7197
-1.814,-7.358279,0.7295,0.7295
-1.764,-7.365511,0.7295,0.7295
-1.714,-7.372741,0.7197,0.7197
-1.664,-7.379955,0.7,0.7
-1.614,-7.38714,0.7,0.7
-1.564,-7.394281,0.7,0.7
-1.514,-7.401364,0.7,0.7
-1.464,-7.407505,0.7,0.7
-1.414,-7.413672,0.7,0.7
-1.364,-7.419847,0.7,0.7
-1.314,-7.425029,0.65,0.65
-1.264,-7.429083,0.65,0.65
-1.214,-7.432858,0.65,0.65
-1.164,-7.436331,0.65,0.65
-1.114,-7.43948,0.65,0.65
-1.064,-7.443265,0.65,0.65
-1.014,-7.446797,0.65,0.65
-0.964,-7.450057,0.6598,0.6598
-0.914,-7.453025,0.6697,0.6697
-0.864,-7.455681,0.6795,0.6795
-0.814,-7.458989,0.6894,0.6894
-0.764,-7.462063,0.6992,0.6992
-0.714,-7.464886,0.7,0.7
-0.664,-7.46744,0.7,0.7
-0.614,-7.469709,0.6992,0.6992
-0.564,-7.471676,0.6894,0.6894
-0.514,-7.473323,0.6795,0.6795
-0.464,-7.475619,0.65,0.65
-0.414,-7.47768,0.65,0.65
-0.364,-7.47949,0.65,0.65
-0.314,-7.481036,0.65,0.65
-0.264,-7.482304,0.65,0.65
-0.214,-7.484265,0.65,0.65
-0.164,-7.486036,0.65,0.65
-0.114,-7.487606,0.65,0.65
-0.064,-7.488965,0.65,0.65
-0.014,-7.490971,0.6598,0.6598
0.036,-7.492631,0.6697,0.6697
0.086,-7.49492,0.6795,0.6795
0.136,-7.496965,0.6894,0.6894
0.186,-7.498757,0.6992,0.6992
0.236,-7.500293,0.7,0.7
0.286,-7.501566,0.7,0.7
0.336,-7.502571,0.7,0.7
0.386,-7.504287,0.7,0.7
