x_m,y_m,w_tr_right_m,w_tr_left_m
-8.366718,-0.612153,1.1288,1.1288
-8.351064,-0.569417,1.0886,1.0886
-8.334044,-0.527731,1.0886,1.0886
-8.314743,-0.487133,1.0984,1.0984
-8.294106,-0.44766,1.0888,1.0888
-8.272211,-0.409342,1.1189,1.1189
-8.249143,-0.372211,1.1092,1.1092
-8.224009,-0.336292,1.1092,1.1092
-8.196785,-0.301609,1.0995,1.0995
-8.167456,-0.268185,1.05,1.05
-8.136988,-0.236037,1.0598,1.0598
-8.105488,-0.205181,1.0197,1.0197
-8.07208,-0.175629,1.0197,1.0197
-8.037748,-0.147392,0.9795,0.9795
-8.001625,-0.120476,0.9394,0.9394
-7.96372,-0.094886,0.9492,0.9492
-7.925025,-0.070623,0.8992,0.8992
-7.884687,-0.047686,0.9,0.9
-7.843708,-0.02607,0.9,0.9
-7.801243,-0.005768,0.85,0.85
-7.757318,0.013229,0.85,0.85
-7.711963,0.030934,0.8098,0.8098
-7.666194,0.047363,0.8098,0.8098
-7.619181,0.062534,0.8197,0.8197
-7.570963,0.076468,0.7795,0.7795
-7.521584,0.089189,0.7894,0.7894
-7.472077,0.100725,0.7992,0.7992
-7.421622,0.111104,0.7991,0.7991
-7.370275,0.12036,0.7689,0.7689
-7.318093,0.128527,0.75,0.75
-7.265138,0.134774,0.75,0.75
-7.212458,0.140993,0.75,0.75
-7.159251,0.147113,0.75,0.75
-7.105589,0.153071,0.75,0.75
-7.051549,0.157935,0.75,0.75
-6.997206,0.161765,0.75,0.75
-6.942641,0.164621,0.75,0.75
-6.887939,0.166567,0.75,0.75
-6.833185,0.167668,0.75,0.75
-6.778467,0.167994,0.75,0.75
-6.724863,0.167617,0.75,0.75
-6.6716,0.166612,0.75,0.75
-6.618777,0.165057,0.75,0.75
-6.566499,0.163032,0.75,0.75
-6.51487,0.16062,0.75,0.75
-6.464,0.157907,0.75,0.75
-6.414,0.154984,0.75,0.75
-6.364,0.15194,0.75,0.75
-6.314,0.148871,0.75,0.75
-6.264,0.145874,0.75,0.75
-6.214,0.143051,0.75,0.75
-6.164,0.140502,0.75,0.75
-6.114,0.137351,0.75,0.75
-6.064,0.134573,0.75,0.75
-6.014,0.131292,0.75,0.75
-5.964,0.127503,0.75,0.75
-5.914,0.123199,0.7,0.7
-5.864,0.119361,0.7,0.7
-5.814,0.116099,0.7,0.7
-5.764,0.113528,0.7,0.7
-5.714,0.11078,0.7,0.7
-5.664,0.107859,0.7,0.7
-5.614,0.104766,0.7,0.7
-5.564,0.100636,0.7,0.7
-5.514,0.096452,0.7,0.7
-5.464,0.092328,0.7,0.7
-5.414,0.08751,0.7,0.7
-5.364,0.082108,0.7,0.7
-5.314,0.077102,0.7,0.7
-5.264,0.072485,0.65,0.65
-5.214,0.068252,0.65,0.65
-5.164,0.064398,0.65,0.65
-5.114,0.060916,0.65,0.65
-5.064,0.057802,0.65,0.65
-5.014,0.055049,0.65,0.65
-4.964,0.052652,0.65,0.65
-4.914,0.050606,0.65,0.65
-4.864,0.048903,0.65,0.65
-4.814,0.04754,0.65,0.65
-4.764,0.04651,0.65,0.65
-4.714,0.045808,0.65,0.65
-4.664,0.045427,0.65,0.65
-4.614,0.045363,0.6492,0.6492
-4.564,0.04561,0.6394,0.6394
-4.514,0.046161,0.6295,0.6295
-4.464,0.046142,0.6197,0.6197
-4.414,0.046528,0.6098,0.6098
-4.364,0.047311,0.6,0.6
-4.314,0.048482,0.6,0.6
-4.264,0.050033,0.6,0.6
-4.214,0.051956,0.6,0.6
-4.164,0.054241,0.6098,0.6098
-4.114,0.056881,0.6197,0.6197
-4.064,0.059867,0.6295,0.6295
-4.014,0.06319,0.6394,0.6394
-3.964,0.066842,0.6492,0.6492
-3.914,0.070815,0.65,0.65
-3.864,0.0751,0.6494,0.6494
-3.814,0.079689,0.6795,0.6795
-3.764,0.084572,0.7,0.7
-3.714,0.089743,0.7,0.7
-3.664,0.095191,0.7,0.7
-3.614,0.10091,0.7,0.7
-3.564,0.106889,0.7,0.7
-3.514,0.113121,0.7,0.7
-3.464,0.119598,0.7,0.7
-3.414,0.12631,0.75,0.75
-3.364,0.13325,0.75,0.75
-3.314,0.140408,0.75,0.75
-3.264,0.147777,0.75,0.75
-3.214,0.155348,0.75,0.75
-3.164,0.164097,0.75,0.75
-3.114,0.172164,0.75,0.75
-3.064,0.179425,0.8,0.8
-3.014,0.185756,0.8,0.8
-2.964,0.192012,0.8,0.8
-2.914,0.198178,0.8,0.8
-2.864,0.204242,0.8,0.8
-2.814,0.210188,0.8,0.8
-2.764,0.216003,0.8,0.8
-2.714,0.221673,0.8,0.8
-2.664,0.227183,0.85,0.85
-2.614,0.23252,0.85,0.85
-2.564,0.237668,0.85,0.85
-2.514,0.242615,0.85,0.85
-2.464,0.247345,0.85,0.85
-2.414,0.251846,0.85,0.85
-2.364,0.256102,0.85,0.85
-2.314,0.2601,0.85,0.85
-2.264,0.263825,0.85,0.85
-2.214,0.267263,0.85,0.85
-2.164,0.270401,0.85,0.85
-2.114,0.273224,0.85,0.85
-2.064,0.275718,0.8295,0.8295
-2.014,0.277868,0.8394,0.8394
-1.964,0.279662,0.8492,0.8492
-1.914,0.281084,0.85,0.85
-1.864,0.28212,0.85,0.85
-1.814,0.283627,0.85,0.85
-1.764,0.285479,0.8492,0.8492
-1.714,0.286683,0.8394,0.8394
-1.664,0.2881,0.8295,0.8295
-1.614,0.289611,0.8197,0.8197
-1.564,0.290227,0.8098,0.8098
-1.514,0.291802,0.8,0.8
-1.464,0.292483,0.8,0.8
-1.414,0.293258,0.8,0.8
-1.364,0.294245,0.8,0.8
-1.314,0.29557,0.8,0.8
-1.264,0.296372,0.8,0.8
-1.214,0.296662,0.8,0.8
-1.164,0.296453,0.8,0.8
-1.114,0.295755,0.8,0.8
-1.064,0.29458,0.8,0.8
-1.014,0.292939,0.8,0.8
-0.964,0.290843,0.8,0.8
-0.914,0.288304,0.8,0.8
-0.864,0.285332,0.8,0.8
-0.814,0.28194,0.8,0.8
-0.764,0.278138,0.8,0.8
-0.714,0.273938,0.8,0.8
-0.664,0.269352,0.8,0.8
-0.614,0.264389,0.8,0.8
-0.564,0.259062,0.8,0.8
-0.514,0.253382,0.8,0.8
-0.464,0.247361,0.8,0.8
-0.414,0.241993,0.8,0.8
-0.364,0.236424,0.8098,0.8098
-0.314,0.230667,0.8197,0.8197
-0.264,0.224736,0.7795,0.7795
-0.214,0.217775,0.7894,0.7894
-0.164,0.209911,0.7992,0.7992
-0.114,0.201265,0.8,0.8
-0.064,0.191958,0.8,0.8
-0.014,0.182977,0.8,0.8
0.036,0.173455,0.75,0.75
0.086,0.164377,0.75,0.75
0.136,0.155742,0.75,0.75
0.186,0.14755,0.75,0.75
0.236,0.139802,0.7492,0.7492
0.286,0.132497,0.7394,0.7394
0.336,0.125635,0.7295,0.7295
0.386,0.119217,0.6697,0.6697
0.436,0.113242,0.6598,0.6598
0.486,0.107711,0.65,0.65
0.536,0.102623,0.65,0.65
0.586,0.097979,0.65,0.65
0.636,0.093778,0.65,0.65
