s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,t_s,x_m,y_m,psi_rad,v_mps
30.43789230988711,-0.3895338312989042,0.10259440415686688,6.999999599376833,0.1297154453481556,0.07126357349722907,6.91328966248173,3.789015876045079,-5.506809854232536,-0.300434513661763,0.029319973160220322,6.999999599376833
30.696423968833432,-0.36021374444436877,0.12132777206981647,6.999999604305917,0.32969887536425624,0.07101913683487134,6.8326190311868285,3.8265057681789334,-5.241789406239308,-0.2889023260088983,0.061527361235395185,6.999999604305917
30.954987265381952,-0.3256017814998462,0.1402108075768685,6.999999608430385,0.47954823775067307,-0.07072673191200347,6.78006951690993,3.8644256863196347,-4.975593910083129,-0.26817354517747205,0.09872612055791989,6.999999608430385
31.21348228552658,-0.2908241565911703,0.12131484418790024,6.999999609581552,0.5753248911743503,-0.07053667347415707,6.7863408579397975,3.9025289725197223,-4.70818131967205,-0.24156336212313256,0.10596047353611425,6.999999609581552
31.47195371031966,-0.261063690569918,0.10248441171791842,6.999999608601782,0.611784650784604,-0.07044602266841439,6.80793845494001,3.940602770457818,-4.440404247000221,-0.2118084043062325,0.12088760621930095,6.999999608601782
31.73043158716204,-0.23635572356509235,0.08373191896950116,6.999999606719421,0.5861521397955938,-0.07051044247552761,6.840099554686345,3.978567932971202,-4.1740097022347245,-0.17726718682567721,0.13807575519769807,6.999999606719421
31.98894260238979,-0.2166898013050984,0.06504244216822355,6.999999604450836,0.5014236374236403,-0.07068815316724435,6.8784315741519295,4.016370833329189,-3.9103992432345063,-0.13860009936571238,0.1507552989428123,6.999999604450836
32.24748836243347,-0.20202770678205767,0.04640131545774843,6.999999602150698,0.3679055535869806,-0.0705592041791739,6.918998126299746,4.053980830457488,-3.649505688482547,-0.09780315109265203,0.15625532906572875,6.999999602150698
32.506049512039276,-0.19230305189325533,0.02789509743707008,6.999999599842432,0.2022957316867188,-0.025925609561879195,6.9586042524337035,4.0913871018429395,-3.390799765724392,-0.056793298464242525,0.15378281581150277,6.999999599842432
32.76460872695392,-0.18591742963688757,0.02114062791070986,6.999999597474291,0.02449362705128469,-0.008183068407144972,6.99388558859537,4.12859772457519,-3.134420463839689,-0.016400856943789677,0.15171920671839667,6.999999597474291
33.023132650424124,-0.18071303034470454,0.019019531961446744,6.999999595293424,-0.14685570208014245,0.034281978350494055,7.025368443514352,4.165626250535529,-2.8804106054211194,0.021929034740821862,0.1404366587466031,6.999999595293424
33.281602912884644,-0.174662731831845,0.027870718769973577,6.999999593363467,-0.2984594135611694,0.07102732403576915,7.049781510092262,4.202495766285856,-2.627612040605761,0.056800148671722894,0.1304278359186849,6.999999593363467
