s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,dt_s,t_s,curvature_1pm,x_m,y_m,psi_rad,v_mps,x_rollout_m,y_rollout_m,psi_rollout_rad,v_rollout_mps,psi_err_rad,xy_err_m,v_err_mps
65.24088763893229,0.0,0.0,3.5590686244799694,0.5177677515644301,0.09074947496773829,3.5590686244799694,0.01403174214299044,20.520182951831128,0.27575581759625384,-10.232795659484154,-2.7878938105373514,-1.129642015598395,3.5590686244799694,-9.752002319949733,-4.613373354503936,5.276715233356623,3.5590686244799694,0.123171941775432,1.8877335089416378,0.0
65.29110439534873,0.0,0.0,3.5663338080598774,-1.2004764687371936,0.09056250507365747,3.5663338080598774,0.014050677094401743,20.534214693974118,0.27518456012108694,-10.21110538967881,-2.8329335968245175,-1.1138777484779052,3.5663338080598774,-9.724974559552026,-4.655427500016375,5.290500516181908,3.5663338080598774,0.12119295748022552,1.8862150490257599,0.0
65.34110351411002,0.0,0.0,3.5494663008382235,-2.0005222841513364,0.09142050215764881,3.5494663008382235,0.01414040983949132,20.54826537106852,0.27780619733443124,-10.188677948256288,-2.877633852122127,-1.0996118176278247,3.5494663008382235,-9.69737025148597,-4.697105471736586,5.304257241329136,3.5494663008382235,0.12068375177737423,1.8846379566081701,0.0
65.39111972739991,0.0,0.0,3.5211780958472882,-1.9226212873987025,0.0928868965801904,3.5211780958472882,0.01425266847965363,20.562405780908012,0.2822877688686718,-10.165696466068201,-2.922065611409451,-1.0896555226620543,3.5211780958472882,-9.66919251942518,-4.738397914283536,5.318145024492714,3.5211780958472882,0.12461523997518142,1.882970845099831,0.0
65.44133963303315,0.0,0.0,3.4937756120260697,-1.0625572785548805,0.09434107969697089,3.4937756120260697,0.014339831056790424,20.576658449387665,0.2867332296454844,-10.142195331434188,-2.966670485148172,-1.0770400886887803,3.4937756120260697,-9.640439489034826,-4.7792918298773275,5.3322568454722115,3.4937756120260697,0.12611162698140532,1.8807857572699835,0.0
65.49154186462496,0.0,0.0,3.4785387201634297,0.2513333338787864,0.09516439582157936,3.4785387201634297,0.014363783613807642,20.590998280444456,0.2892506612844197,-10.118111094818095,-3.0104776505793733,-1.0603226361960643,3.4785387201634297,-9.61110776258637,-4.819772659867625,5.346590899058191,3.4785387201634297,0.12372822807466832,1.8789893053259905,0.0
65.54153681591515,0.0,0.0,3.4821488177862014,1.524088991803917,0.09496836073214124,3.4821488177862014,0.014311514491397356,20.605362064058262,0.28865121428593515,-10.093341204641868,-3.0539129914933794,-1.0419257283033114,3.4821488177862014,-9.581196298956852,-4.859827014964631,5.361050801329571,3.4821488177862014,0.11979122245329599,1.8771302204666676,0.0
65.59185493371378,0.0,0.0,3.5039608394785824,2.1820949408923833,0.09379663590478188,3.5039608394785824,0.014204147742419217,20.61967357854966,0.28506871411038565,-10.067334220360259,-3.097364709083363,-1.0244843215488213,3.5039608394785824,-9.550709392989043,-4.899445139138922,5.375480736703118,3.5039608394785824,0.11677975107235383,1.8746719949488673,0.0
65.64216896234365,0.0,0.0,3.5349556384070033,1.7886321714557323,0.0921683529547332,3.5349556384070033,0.014091638404598627,20.633877726292077,0.28009161537922156,-10.041060946491491,-3.139894271523382,-1.0110434138138211,3.5349556384070033,-9.519657495245852,-4.938622018984402,5.389731579651445,3.5349556384070033,0.11758968628567956,1.8727741637626945,0.0
65.69216686265639,0.0,0.0,3.5601603962059896,0.40527638843492303,0.09087512808538142,3.5601603962059896,0.01403055160980825,20.647969364696674,0.27613974210287845,-10.014238766534007,-3.1820997840270895,-1.0012190118258144,3.5601603962059896,-9.488055275130236,-4.977356363123556,5.403733612930927,3.5601603962059896,0.12176731757715586,1.8707793165991033,0.0
