s_m,x_m,y_m,psi_unwrapped_rad,psi_rad,curvature_1pm,v_ref_mps,a_ref_mps2,yaw_rate_ref_radps,delta_ref_rad,dt_s,t_s,ey_ref_m,epsi_ref_rad,w_tr_right_m,w_tr_left_m,x_rollout_m,y_rollout_m,psi_rollout_unwrapped_rad,v_rollout_mps,psi_rollout_rad,psi_err_rad,xy_err_m,v_err_mps
18.900000000000002,-2.3704367636712615,-4.188846239194034,3.2905865827571006,-2.9925987244224856,0.28239842099652346,3.2580201160160773,2.5000000000000027,0.9200597363378504,0.09292309751305906,0.015257429902473502,6.320587277344957,0.0,0.0,0.7805272065685309,0.7805272065685309,-2.306101033272902,-4.073545630525207,3.2423882499303116,3.2580201160160773,-3.040797057249275,-0.048198332826789425,0.1320352853039381,0.0
18.95,-2.4199030002968587,-4.196129702153865,3.2791233584701565,-3.0040619487094293,0.2589632941582724,3.296163690772261,2.500000000000015,0.8535854074472738,0.08525075949484294,0.015082877601993781,6.335844707247431,0.0,0.0,0.7906826454629753,0.7906826454629753,-2.3558100816000795,-4.078927914192554,3.256508170980138,3.296163690772261,-3.0266771361994484,-0.022615187490019117,0.1335820396924678,0.0
19.0,-2.469408978966014,-4.203134155432134,3.2968391097711502,-2.9863461974084355,0.2552248301049446,3.333870884777246,2.5000000000000075,0.8508866301590939,0.08402588317057884,0.014914182542549658,6.350927584849424,0.0,0.0,0.8000302366351522,0.8000302366351522,-2.4054418011448764,-4.0849824567865305,3.2694563356880515,3.333870884777246,-3.0137289714915347,-0.027382774083099193,0.13435633119150955,0.0
19.05,-2.5186949168905626,-4.211561174668279,3.317975212146938,-2.9652100950326483,0.23463092024136462,3.37115634113362,2.4999999999999942,0.7909775145976929,0.07727402725410716,0.01475102429866929,6.3658417673919745,0.0,0.0,0.8107423415621348,0.8107423415621348,-2.4549916028077097,-4.091674483939841,3.2822175771932987,3.37115634113362,-3.0009677299862876,-0.03575763495363926,0.13576056437329131,0.0
19.1,-2.5679287488923426,-4.220278611274884,3.313429990189309,-2.969755316990277,0.21324177313326695,3.408033901880293,2.4999999999999956,0.7267351921352401,0.07025397416159451,0.01459310646156207,6.380592791690644,0.0,0.0,0.8174591611997332,0.8174591611997332,-2.504455789751601,-4.09897280816884,3.293949123205367,3.408033901880293,-2.989236183974219,-0.019480866983942136,0.13690841613752025,0.0
19.150000000000002,-2.6172604387787275,-4.228427252105714,3.29491104664864,-2.9882742605309467,0.2078143316990954,3.4445166680341983,2.500000000000006,0.7158199293939218,0.0684715222670654,0.014440154373091792,6.395185898152206,0.0,0.0,0.7885781645677913,0.7885781645677913,-2.553835209077417,-4.106824512641423,3.30461121186203,3.4445166680341983,-2.9785740953175566,0.009700165213390122,0.13714950239750856,0.0
19.200000000000003,-2.666660587197139,-4.236144665794998,3.3098599714761168,-2.9733253357034695,0.19725170227050087,3.480617053966928,2.5000000000000098,0.6865576388467123,0.0650013593525625,0.014291913115713529,6.409626052525297,0.0,0.0,0.8001022635277641,0.8001022635277641,-2.6031292557401438,-4.115195562156251,3.3150019284469847,3.480617053966928,-2.9681833787326015,0.005141956970867945,0.13661960235528045,0.0
19.25,-2.7158523143519844,-4.245102606767151,3.323731752467112,-2.959453554712474,0.1885147086577077,3.516346836756212,2.499999999999983,0.6628830994705494,0.062129787613590434,0.014148145724890345,6.423917965641011,0.0,0.0,0.8092665527552434,0.8092665527552434,-2.6523360275800347,-4.124065361474465,3.32486451356051,3.516346836756212,-2.9583207936190767,0.0011327610933973276,0.13669064866821865,0.0
19.3,-2.7649959388243124,-4.254314839724843,3.339063407942084,-2.9441218992375022,0.17658804606395279,3.5517172010684375,2.500000000000005,0.6271908007084067,0.05820822566004644,0.014008631595460636,6.4380661113659015,0.0,0.0,0.8193718874626696,0.8193718874626696,-2.701454987886435,-4.133409302225286,3.3342902489933954,3.5517172010684375,-2.9488950581861904,-0.004773158948688128,0.13658550964193317,0.0
19.35,-2.813927089900945,-4.264598728160988,3.3480851990770293,-2.9351001081025565,0.1536320004005701,3.586738780057089,2.5000000000000115,0.551037853694471,0.050655189419217525,0.013873165057566552,6.452074742961362,0.0,0.0,0.8389121816127858,0.8389121816127858,-2.7504866380574495,-4.143201188654734,3.3431196512965933,3.586738780057089,-2.940065655882993,-0.004965547780436452,0.13697464556727035,0.0
19.400000000000002,-2.862836339069034,-4.274987494247086,3.3676253727720717,-2.915559934407515,0.152765016910677,3.6214216927010057,2.4999999999999853,0.5532265461261617,0.0503698142482855,0.013741554101225874,6.465947908018929,0.0,0.0,0.8095648646982077,0.8095648646982077,-2.7994358200451925,-4.153397525710551,3.350801251316622,3.6214216927010057,-2.932384055862965,-0.01682412145544987,0.1371267525365061,0.0
19.450000000000003,-2.911349210642878,-4.287088470258375,3.390291937915529,-2.8928933692640566,0.12328757265998097,3.65577557795407,2.5000000000000133,0.45071169719559634,0.04066247320363515,0.013613619231551794,6.479689462120155,0.0,0.0,0.8176440678219592,0.8176440678219592,-2.8483054649412427,-4.163968507345518,3.3584395021621556,3.65577557795407,-2.92474580501743,-0.0318524357533736,0.1383222293767555,0.0
